Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Shares,ProfitLoss,ProfitLossPct,HoldingDays,ExitReason
BULL,2025-01-24,136.0,2025-01-30,140.0,117600,389256.0,2.4338235294117645,6,TARGET_1
SRTG,2025-01-24,1845.0,2025-01-31,1900.0,10800,492885.0,2.4735772357723578,7,TARGET_1
NSSS,2025-01-30,290.0,2025-02-04,299.0,44500,334973.75,2.595689655172414,5,TARGET_1
BBNI,2025-01-31,4770.0,2025-02-05,4579.0,2400,-514494.0,-4.494182389937107,5,STOP_LOSS
AMRT,2025-02-04,2890.0,2025-02-05,2977.0,3400,245930.5,2.502854671280277,1,TARGET_1
BBRI,2025-01-31,4220.0,2025-02-06,4051.0,3400,-644903.5,-4.494727488151659,6,STOP_LOSS
TLKM,2025-01-31,2660.0,2025-02-06,2554.0,3400,-404719.0,-4.475,6,STOP_LOSS
MAPA,2025-02-06,915.0,2025-02-07,878.0,15600,-647127.0,-4.533606557377049,1,STOP_LOSS
TLKM,2025-01-30,2640.0,2025-02-10,2508.0,6000,-869220.0,-5.4875,11,STOP_LOSS
AMRT,2025-02-05,2930.0,2025-02-11,3018.0,4200,307146.0,2.495904436860068,6,TARGET_1
TPIA,2025-02-10,7000.0,2025-02-11,6720.0,2000,-628600.0,-4.49,1,STOP_LOSS
CASA,2025-02-07,625.0,2025-02-12,644.0,22700,359284.25,2.5324,5,TARGET_1
CASA,2025-02-10,630.0,2025-02-12,649.0,14700,232296.75,2.5083333333333333,2,TARGET_1
CASA,2025-02-11,620.0,2025-02-12,639.0,20400,323391.0,2.5568548387096777,1,TARGET_1
TCPI,2025-02-10,6575.0,2025-02-13,6772.0,1700,278175.25,2.4887072243346005,3,TARGET_1
SPRE,2025-02-12,150.0,2025-02-13,154.0,93500,302940.0,2.16,1,TARGET_1
OASA,2025-02-12,141.0,2025-02-14,134.0,124400,-956325.0,-5.452127659574469,2,STOP_LOSS
VKTR,2025-02-17,122.0,2025-02-20,117.0,129500,-724876.25,-4.588114754098361,3,STOP_LOSS
VKTR,2025-02-18,123.0,2025-02-20,118.0,82400,-461646.0,-4.554878048780488,2,STOP_LOSS
WIFI,2025-02-19,1770.0,2025-02-20,1823.0,4500,198078.75,2.4868644067796613,1,TARGET_1
TCPI,2025-02-17,6725.0,2025-02-21,6927.0,2900,486823.00000000006,2.496208178438662,4,TARGET_1
FILM,2025-02-20,4230.0,2025-02-24,4061.0,3100,-588155.25,-4.485283687943262,4,STOP_LOSS
ISAT,2025-02-20,1755.0,2025-02-24,1685.0,5900,-463740.0,-4.478632478632479,4,STOP_LOSS
TPIA,2025-02-21,8025.0,2025-02-24,7704.0,1300,-468419.25,-4.49,3,STOP_LOSS
KIJA,2025-02-24,182.0,2025-02-25,175.0,83500,-659023.75,-4.336538461538462,1,STOP_LOSS
ASII,2025-02-20,4720.0,2025-02-26,4531.0,1700,-360616.75,-4.4942266949152545,6,STOP_LOSS
BULL,2025-02-25,132.0,2025-02-26,136.0,114200,380286.0,2.5227272727272725,1,TARGET_1
ITMA,2025-02-25,885.0,2025-02-27,850.0,13600,-534990.0,-4.444915254237288,2,STOP_LOSS
PWON,2025-02-26,400.0,2025-02-27,384.0,35600,-639376.0,-4.49,1,STOP_LOSS
MTDL,2025-02-26,600.0,2025-02-27,618.0,15400,230307.0,2.4924999999999997,1,TARGET_1
AUTO,2025-02-18,2040.0,2025-02-28,1958.0,6100,-561169.5,-4.509558823529412,10,STOP_LOSS
INDF,2025-02-26,7725.0,2025-02-28,7339.0,1400,-593124.0,-5.484271844660194,2,STOP_LOSS
BANK,2025-03-04,820.0,2025-03-06,787.0,14600,-540455.5,-4.514329268292682,2,STOP_LOSS
CARE,2025-03-05,224.0,2025-03-10,215.0,42800,-432173.0,-4.5078125,5,STOP_LOSS
CASA,2025-03-06,735.0,2025-03-10,698.0,13500,-547863.75,-5.521428571428571,4,STOP_LOSS
BULL,2025-03-03,138.0,2025-03-11,132.0,136000,-907800.0,-4.83695652173913,8,STOP_LOSS
BANK,2025-03-03,805.0,2025-03-11,773.0,18600,-668577.0,-4.465217391304348,8,STOP_LOSS
ASII,2025-03-07,4930.0,2025-03-11,4733.0,1600,-353852.0,-4.485953346855983,4,STOP_LOSS
JPFA,2025-03-10,2180.0,2025-03-11,2093.0,4600,-449339.5,-4.480848623853211,1,STOP_LOSS
INTP,2025-03-12,4670.0,2025-03-13,4810.0,2400,279120.0,2.4903640256959316,1,TARGET_1
AKRA,2025-03-12,1305.0,2025-03-13,1253.0,7100,-414604.5,-4.474712643678161,1,STOP_LOSS
BBCA,2025-03-12,9125.0,2025-03-14,8760.0,1500,-614568.75,-4.49,2,STOP_LOSS
CTRA,2025-03-11,840.0,2025-03-18,798.0,21400,-986433.0,-5.4875,7,STOP_LOSS
HEAL,2025-03-13,1300.0,2025-03-18,1248.0,8900,-519493.0,-4.49,5,STOP_LOSS
AKRA,2025-03-14,1140.0,2025-03-18,1083.0,10400,-650598.0,-5.4875,4,STOP_LOSS
BRPT,2025-03-14,780.0,2025-03-18,741.0,12200,-522190.5,-5.4875,4,STOP_LOSS
DSSA,2025-03-19,42125.0,2025-03-20,43389.0,300,315064.5,2.4930919881305638,1,TARGET_1
SSIA,2025-03-19,890.0,2025-03-21,854.0,11400,-460104.0,-4.534831460674157,2,STOP_LOSS
MEJA,2025-03-19,386.0,2025-03-21,398.0,21000,210840.0,2.6010362694300517,2,TARGET_1
SMIL,2025-03-20,330.0,2025-03-21,317.0,27500,-401981.25,-4.429545454545455,1,STOP_LOSS
INDF,2025-03-18,7075.0,2025-03-24,6721.0,2200,-854678.0,-5.491024734982332,6,STOP_LOSS
