Date,StockCode,StockName,EntrySignal,SignalStrength,EntryPrice,StopLoss,Target1,Target2,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-02-12,CMRY,Cisarua Mountain Dairy Tbk.,BUY - PULLBACK,45,5400.0,4757.0,5914.0,6171.0,WIN,5400.0,0.0,CLOSE,1.7179455334238398,Trending Up
2026-02-12,PWON,Pakuwon Jati Tbk.,BUY - BREAKOUT,71,372.0,357.0,384.0,395.0,LOSS,368.0,-1.0752688172043012,CLOSE,1.4503485155026845,Sideways
2026-02-12,RSCH,Charlie Hospital Semarang Tbk.,BUY - BREAKOUT,73,414.0,381.0,445.0,476.0,LOSS,396.0,-4.3478260869565215,CLOSE,1.4317209848071049,Trending Up
2026-02-12,TINS,Timah Tbk.,BUY - BREAKOUT,97,4190.0,3855.0,4612.0,5034.0,LOSS,4050.0,-3.341288782816229,CLOSE,3.032675783100332,Trending Up
2026-02-13,SGER,Sumber Global Energy Tbk.,BUY - MOMENTUM,76,510.0,490.0,525.0,536.0,LOSS,490.0,-3.9215686274509802,STOP_LOSS,1.6383711985230012,Trending Up
2026-02-19,AADI,Adaro Andalan Indonesia Tbk.,BUY - BREAKOUT,91,9550.0,8929.0,10016.0,10482.0,LOSS,9325.0,-2.356020942408377,CLOSE,2.080503606306249,Trending Up
2026-02-19,BIPI,Astrindo Nusantara Infrastruktur Tbk.,BUY - BREAKOUT,98,244.0,224.0,283.0,321.0,LOSS,228.0,-6.557377049180328,CLOSE,2.4488579930577594,Trending Up
2026-02-19,MBMA,Merdeka Battery Materials Tbk.,BUY - BREAKOUT,98,905.0,833.0,980.0,1055.0,LOSS,855.0,-5.524861878453039,CLOSE,5.263231055450167,Trending Up
2026-02-20,SUPA,Super Bank Indonesia Tbk.,BUY - BREAKOUT,70,1050.0,966.0,1138.0,1226.0,WIN,1070.0,1.9047619047619049,CLOSE,1.2172641657584944,Trending Up
2026-02-23,BRPT,Barito Pacific Tbk.,BUY - RISKY BOUNCE,68,2140.0,2033.0,2194.0,2226.0,LOSS,2033.0,-5.0,STOP_LOSS,0.774990615563448,Trending Up
2026-02-23,TRIN,Perintis Triniti Properti Tbk.,BUY - BREAKOUT,81,1175.0,1081.0,1295.0,1415.0,LOSS,1081.0,-8.0,STOP_LOSS,1.5837991981478345,Trending Up
2026-02-24,BMRI,Bank Mandiri (Persero) Tbk.,BUY - BREAKOUT,75,5375.0,5078.0,5598.0,5821.0,LOSS,5300.0,-1.3953488372093024,CLOSE,1.3624142881006023,Trending Up
2026-02-25,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,BUY - BREAKOUT,79,3970.0,3841.0,4066.0,4163.0,LOSS,3950.0,-0.5037783375314862,CLOSE,1.5392207915543548,Trending Up
2026-02-25,RISE,Jaya Sukses Makmur Sentosa Tbk.,BUY - RISKY BOUNCE,69,3240.0,3078.0,3321.0,3370.0,LOSS,3078.0,-5.0,STOP_LOSS,0.7186580008152542,Trending Down
2026-02-26,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - BREAKOUT,66,3650.0,3499.0,3764.0,3877.0,LOSS,3540.0,-3.0136986301369864,CLOSE,1.3501297451746457,Trending Up
2026-02-27,AUTO,Astra Otoparts Tbk.,BUY - BREAKOUT,82,2900.0,2743.0,3018.0,3136.0,LOSS,2840.0,-2.0689655172413794,CLOSE,1.6329762170899897,Trending Up
2026-02-27,ENRG,Energi Mega Persada Tbk.,BUY - BREAKOUT,76,1760.0,1619.0,1968.0,2176.0,WIN,2176.0,23.636363636363637,TARGET2,1.315017642729657,Sideways
2026-02-27,ITMG,Indo Tambangraya Megah Tbk.,BUY - BREAKOUT,58,22775.0,22325.0,23112.0,23450.0,WIN,23450.0,2.96377607025247,TARGET2,1.5508113424028849,Trending Up
2026-02-27,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - RISKY BOUNCE,70,1115.0,1059.0,1143.0,1160.0,LOSS,1059.0,-5.0224215246636765,STOP_LOSS,0.4634972308964497,Trending Up
2026-02-27,RATU,Raharja Energi Cepu Tbk.,BUY - RISKY BOUNCE,70,7200.0,6840.0,7380.0,7488.0,WIN,7488.0,4.0,TARGET2,0.6934182814337383,Trending Down
2026-02-27,UNVR,Unilever Indonesia Tbk.,BUY - BREAKOUT,95,2380.0,2234.0,2489.0,2599.0,LOSS,2250.0,-5.46218487394958,CLOSE,3.6235434821558847,Trending Up
2026-02-27,VKTR,VKTR Teknologi Mobilitas Tbk.,BUY - RISKY BOUNCE,70,945.0,898.0,969.0,983.0,LOSS,898.0,-4.973544973544974,STOP_LOSS,0.6421500620199914,Trending Down
2026-03-02,ITMG,Indo Tambangraya Megah Tbk.,BUY - BREAKOUT,100,23500.0,22936.0,23923.0,24346.0,WIN,24346.0,3.5999999999999996,TARGET2,3.6763381166858697,Sideways
2026-03-04,AUTO,Astra Otoparts Tbk.,BUY - PULLBACK,44,2750.0,2504.0,2947.0,3046.0,WIN,2780.0,1.090909090909091,CLOSE,1.339225147449488,Trending Up
2026-03-05,ITMG,Indo Tambangraya Megah Tbk.,BUY - BREAKOUT,79,25975.0,24582.0,27020.0,28064.0,WIN,27020.0,4.023099133782483,TARGET1,1.4678638165702884,Trending Up
2026-03-05,MSIN,MNC Digital Entertainment Tbk.,BUY - RISKY BOUNCE,70,535.0,508.0,548.0,556.0,LOSS,508.0,-5.046728971962617,STOP_LOSS,0.9126298982782226,Trending Up
