date,capital,unrealized_pnl,total_equity,num_positions,return_pct
2023-02-22,100000000.0,0.0,100000000.0,4,0.0
2023-02-23,100148939.375,802000.0,100950939.375,4,0.9509393749999999
2023-02-24,100817489.375,-51000.0,100766489.375,2,0.766489375
2023-02-27,100997901.875,-112000.0,100885901.875,3,0.885901875
2023-02-28,101000618.375,-42500.0,100958118.375,3,0.958118375
2023-03-01,99952742.125,-427000.0,99525742.125,3,-0.47425787500000005
2023-03-02,99621511.625,0.0,99621511.625,2,-0.37848837500000004
2023-03-03,99621511.625,-216000.0,99405511.625,4,-0.5944883750000001
2023-03-06,98969599.175,0.0,98969599.175,1,-1.030400825000003
2023-03-07,98969599.175,207000.0,99176599.175,4,-0.823400825000003
2023-03-08,98963906.675,111800.0,99075706.675,4,-0.9242933250000029
2023-03-09,99061703.675,245000.0,99306703.675,2,-0.6932963250000029
2023-03-10,99129428.675,-162000.0,98967428.675,1,-1.032571325000003
2023-03-13,98468590.175,0.0,98468590.175,0,-1.531409825000003
2023-03-14,98468590.175,0.0,98468590.175,0,-1.531409825000003
2023-03-15,98468590.175,0.0,98468590.175,1,-1.531409825000003
2023-03-16,98468590.175,-255000.0,98213590.175,3,-1.786409825000003
2023-03-17,98446787.675,78500.0,98525287.675,4,-1.474712325000003
2023-03-20,97264233.925,-40000.0,97224233.925,1,-2.775766075000003
2023-03-21,97192033.925,0.0,97192033.925,1,-2.807966075000003
2023-03-24,97332380.64375,0.0,97332380.64375,4,-2.667619356250003
2023-03-27,97332380.64375,-27500.0,97304880.64375,5,-2.695119356250003
2023-03-28,97422274.2375,0.0,97422274.2375,0,-2.5777257625000027
2023-03-29,97422274.2375,0.0,97422274.2375,4,-2.5777257625000027
2023-03-30,96772907.9875,-35000.0,96737907.9875,4,-3.262092012500003
2023-03-31,95914271.9875,50000.0,95964271.9875,2,-4.035728012500003
2023-04-03,96091896.9875,0.0,96091896.9875,3,-3.9081030125000025
2023-04-04,95419241.9875,-488500.0,94930741.9875,3,-5.069258012500003
2023-04-05,95285126.58749999,0.0,95285126.58749999,1,-4.714873412500009
2023-04-06,95285126.58749999,-248500.0,95036626.58749999,1,-4.963373412500009
2023-04-10,95001836.58749999,0.0,95001836.58749999,1,-4.998163412500009
2023-04-11,94369644.58749999,-57500.0,94312144.58749999,2,-5.687855412500009
2023-04-12,94470413.33749999,-37500.0,94432913.33749999,1,-5.567086662500009
2023-04-13,94400100.83749999,0.0,94400100.83749999,1,-5.599899162500009
2023-04-14,94400100.83749999,118000.0,94518100.83749999,5,-5.481899162500009
2023-04-17,94447300.83749999,-555000.0,93892300.83749999,4,-6.107699162500009
2023-04-18,93912883.08749999,0.0,93912883.08749999,1,-6.087116912500009
2023-04-26,93912883.08749999,67500.0,93980383.08749999,5,-6.019616912500009
2023-04-27,93978082.08749999,268000.0,94246082.08749999,2,-5.753917912500009
2023-04-28,94254113.08749999,0.0,94254113.08749999,2,-5.7458869125000085
2023-05-02,94254113.08749999,-358200.0,93895913.08749999,5,-6.1040869125000095
2023-05-03,93922133.08749999,-200000.0,93722133.08749999,3,-6.277866912500009
2023-05-04,92993795.58749999,0.0,92993795.58749999,2,-7.006204412500009
2023-05-05,92993795.58749999,300000.0,93293795.58749999,2,-6.70620441250001
2023-05-08,93011176.83749999,0.0,93011176.83749999,1,-6.988823162500009
2023-05-09,93011176.83749999,0.0,93011176.83749999,2,-6.988823162500009
2023-05-10,93330458.7825,0.0,93330458.7825,1,-6.669541217500001
2023-05-11,93330458.7825,-279000.0,93051458.7825,5,-6.948541217500001
2023-05-12,92682998.5325,158000.0,92840998.5325,2,-7.1590014675
2023-05-15,93298963.0325,0.0,93298963.0325,1,-6.701036967500001
2023-05-16,93298963.0325,118800.0,93417763.0325,2,-6.582236967500001
2023-05-17,92688628.0325,0.0,92688628.0325,2,-7.3113719675
2023-05-19,92063780.0325,-590000.0,91473780.0325,4,-8.526219967500001
2023-05-22,91764211.2825,-225800.0,91538411.2825,3,-8.461588717500002
2023-05-23,91206501.2825,187500.0,91394001.2825,3,-8.6059987175
2023-05-24,91341617.68875,-120000.0,91221617.68875,2,-8.77838231125
2023-05-25,90799247.68875,0.0,90799247.68875,2,-9.200752311250001
2023-05-26,90799247.68875,-246000.0,90553247.68875,3,-9.44675231125
2023-05-29,90194000.18875,0.0,90194000.18875,1,-9.805999811250002
2023-05-30,90269600.18875,0.0,90269600.18875,2,-9.73039981125
2023-05-31,89038928.18875,-137000.0,88901928.18875,3,-11.098071811250001
2023-06-05,88986858.18875,80000.0,89066858.18875,3,-10.933141811250001
2023-06-06,89239658.18875,-38000.0,89201658.18875,4,-10.798341811250001
2023-06-07,89519924.06375,0.0,89519924.06375,1,-10.480075936250001
2023-06-08,89519924.06375,87000.0,89606924.06375,1,-10.393075936250002
2023-06-09,89395804.06375,0.0,89395804.06375,1,-10.604195936250001
2023-06-12,89395804.06375,112500.0,89508304.06375,3,-10.49169593625
2023-06-13,89795081.18875,0.0,89795081.18875,2,-10.204918811250002
2023-06-14,89133074.18875,-49000.0,89084074.18875,3,-10.915925811250002
2023-06-15,88595928.93875,141000.0,88736928.93875,3,-11.263071061250002
2023-06-16,88491733.93875,-377000.0,88114733.93875,3,-11.88526606125
2023-06-19,87836931.18875,0.0,87836931.18875,2,-12.163068811250001
2023-06-20,87883749.93875,-12500.0,87871249.93875,3,-12.12875006125
2023-06-21,87925624.93875,57500.0,87983124.93875,4,-12.016875061250001
2023-06-22,87437387.43875,-177200.0,87260187.43875,3,-12.739812561250002
2023-06-23,87606420.43875,-116700.0,87489720.43875,1,-12.510279561250002
2023-06-26,87540484.93875,0.0,87540484.93875,3,-12.45951506125
2023-06-27,88132062.93875,-279700.0,87852362.93875,4,-12.14763706125
2023-07-03,87723918.18875,0.0,87723918.18875,1,-12.276081811250002
2023-07-04,87723918.18875,-95000.0,87628918.18875,5,-12.37108181125
2023-07-05,87760689.42875,-114000.0,87646689.42875,3,-12.353310571250006
2023-07-06,87880233.22874999,0.0,87880233.22874999,2,-12.11976677125001
2023-07-07,87880233.22874999,-304000.0,87576233.22874999,5,-12.42376677125001
