Date,StockCode,StockName,EntrySignal,SignalGrade,SignalStrength,SignalReason,EntryPrice,StopLoss,Target1,Target2,RiskReward,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2025-12-08,MDKA,Merdeka Copper Gold Tbk.,BUY - AKUMULASI,B,61,NonReg 85.2% | Avg Rp12jt | Asing: NET BUY | Bullish Marubozu + EMA5 Breakout,2330.0,2260.0,2400.0,2470.0,2.0,LOSS,2260.0,-3.004291845493562,STOP_LOSS,1.4271480484758214,Trending Down
2025-12-08,INKP,Indah Kiat Pulp & Paper Tbk.,BUY - AKUMULASI,A,80,NonReg 330.6% | Avg Rp16jt | Asing: NET BUY | Above MA Stack + EMA5 Breakout,8800.0,8536.0,9064.0,9328.0,2.0,LOSS,8536.0,-3.0,STOP_LOSS,1.3332108397406905,Trending Up
2025-12-08,PTRO,Petrosea Tbk.,BUY - AKUMULASI,B,53,NonReg 12.8% | Avg Rp27jt | Asing: NET BUY | Bullish Pin Bar + Above MA Stack,10775.0,10452.0,11098.0,11422.0,2.0,LOSS,10452.0,-2.997679814385151,STOP_LOSS,0.8285025241349168,Trending Up
2025-12-08,CASA,Capital Financial Indonesia Tbk.,BUY - AKUMULASI,B,46,NonReg 228.8% | Avg Rp7jt | Asing: NET BUY | Above MA Stack,1665.0,1615.0,1715.0,1765.0,2.0,LOSS,1615.0,-3.003003003003003,STOP_LOSS,1.0318169274639466,Sideways
2025-12-08,AVIA,Avia Avian Tbk.,BUY - AKUMULASI,C,42,NonReg 13.8% | Avg Rp6jt | Asing: NET BUY | EMA5 Breakout,472.0,458.0,486.0,500.0,2.0,WIN,486.0,2.9661016949152543,TARGET1,0.9909198595655158,Sideways
2025-12-08,NICL,PAM Mineral Tbk.,BUY - AKUMULASI,A,76,NonReg 38.7% | Avg Rp33jt | Asing: NET BUY | Bullish Pin Bar + Golden Cross (EMA5/10),1080.0,1048.0,1112.0,1145.0,2.0,LOSS,1065.0,-1.3888888888888888,CLOSE,1.5809976435964486,Trending Up
2025-12-08,BBHI,Allo Bank Indonesia Tbk.,BUY - AKUMULASI,B,64,NonReg 257.4% | Avg Rp8jt | Asing: NET BUY | EMA5 Breakout,1490.0,1445.0,1535.0,1579.0,2.0,WIN,1495.0,0.33557046979865773,CLOSE,1.289022928897258,Sideways
2025-12-09,CDIA,Chandra Daya Investasi Tbk.,BUY - AKUMULASI,B,45,NonReg 89.3% | Avg Rp8jt | Asing: NET BUY,1905.0,1848.0,1962.0,2019.0,2.0,LOSS,1885.0,-1.0498687664041995,CLOSE,0.6136144697149287,Trending Up
2025-12-09,IMPC,Impack Pratama Industri Tbk.,BUY - AKUMULASI,B,53,NonReg 189.0% | Avg Rp12jt | Asing: NET BUY | Above MA Stack,3740.0,3628.0,3852.0,3964.0,2.0,LOSS,3670.0,-1.8716577540106951,CLOSE,0.6953461637087421,Trending Up
2025-12-09,NCKL,Trimegah Bangun Persada Tbk.,BUY - AKUMULASI,C,43,NonReg 17.3% | Avg Rp7jt | Asing: NET BUY | Bullish Pin Bar,1020.0,989.0,1051.0,1081.0,2.0,WIN,1020.0,0.0,CLOSE,0.7565316501274452,Sideways
2025-12-09,MYOR,Mayora Indah Tbk.,BUY - AKUMULASI,B,65,NonReg 21.4% | Avg Rp6jt | Asing: NET BUY | Volume Surge 2x + Golden Cross (EMA5/10),2180.0,2115.0,2245.0,2311.0,2.0,WIN,2200.0,0.9174311926605505,CLOSE,2.1667577962529383,Sideways
2025-12-09,ISAT,Indosat Tbk.,BUY - REVERSAL,C,30,Dip -1.6% | Pos 44/100 | Golden Cross (EMA5/10) + Above MA Stack,2400.0,2280.0,2472.0,2544.0,1.2,WIN,2472.0,3.0,TARGET1,0.8788753047153259,Trending Up
2025-12-09,UNVR,Unilever Indonesia Tbk.,BUY - AKUMULASI,B,68,NonReg 37.7% | Avg Rp11jt | Asing: NET BUY,2670.0,2590.0,2750.0,2830.0,2.0,WIN,2750.0,2.9962546816479403,TARGET1,1.2833987110435716,Trending Up
2025-12-09,NICL,PAM Mineral Tbk.,BUY - AKUMULASI,A,80,NonReg 13.7% | Avg Rp22jt | Golden Cross (EMA5/10),1065.0,1033.0,1097.0,1129.0,2.0,WIN,1080.0,1.4084507042253522,CLOSE,1.3582094897045658,Trending Up
2025-12-09,MAPI,Mitra Adiperkasa Tbk.,BUY - REVERSAL,B,60,Dip -2.5% | Pos 0/100 | Vol 1.2x,1185.0,1141.0,1221.0,1256.0,1.62,WIN,1190.0,0.42194092827004215,CLOSE,1.1538015139334254,Sideways
2025-12-09,PADI,Minna Padi Investama Sekuritas Tbk.,BUY - AKUMULASI,C,44,NonReg 42.4% | Avg Rp5jt | Asing: NET BUY | Above MA Stack,154.0,149.0,159.0,163.0,2.0,LOSS,149.0,-3.2467532467532463,STOP_LOSS,1.1222220500622135,Trending Up
2025-12-09,ASII,Astra International Tbk.,BUY - AKUMULASI,B,56,NonReg 6.7% | Avg Rp18jt | Asing: NET BUY,6600.0,6402.0,6798.0,6996.0,2.0,WIN,6625.0,0.3787878787878788,CLOSE,0.8979457685017836,Trending Up
2025-12-09,BULL,Buana Lintas Lautan Tbk.,BUY - AKUMULASI,C,34,NonReg 9.4% | Avg Rp8jt | Asing: NET BUY,312.0,303.0,321.0,331.0,2.0,WIN,331.0,6.089743589743589,TARGET2,0.5871131062966338,Trending Up
2025-12-09,KRAS,Krakatau Steel (Persero) Tbk.,BUY - REVERSAL,C,33,Dip -1.9% | Pos 68/100 | Vol 1.2x | Above MA Stack,408.0,388.0,420.0,432.0,1.25,LOSS,388.0,-4.901960784313726,STOP_LOSS,1.1939882781818207,Trending Up
2025-12-10,IMPC,Impack Pratama Industri Tbk.,BUY - AKUMULASI,B,51,NonReg 1182.0% | Avg Rp10jt | Asing: NET BUY | Above MA Stack,3670.0,3560.0,3780.0,3890.0,2.0,WIN,3890.0,5.994550408719346,TARGET2,0.41022822341966303,Trending Up
2025-12-10,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - AKUMULASI,B,55,NonReg 20.6% | Avg Rp16jt | Asing: NET BUY | EMA5 Breakout,3640.0,3531.0,3749.0,3858.0,2.0,LOSS,3531.0,-2.9945054945054945,STOP_LOSS,1.043432650109769,Sideways
2025-12-10,MDKA,Merdeka Copper Gold Tbk.,BUY - AKUMULASI,B,66,NonReg 26.9% | Avg Rp15jt | Asing: NET BUY | EMA5 Breakout + Tweezer Bottom,2280.0,2212.0,2348.0,2417.0,2.0,LOSS,2212.0,-2.982456140350877,STOP_LOSS,1.6010964773065186,Sideways
2025-12-10,NICL,PAM Mineral Tbk.,BUY - AKUMULASI,A,76,NonReg 49.0% | Avg Rp22jt | Asing: NET BUY | Above MA Stack + EMA5 Breakout,1080.0,1048.0,1112.0,1145.0,2.0,WIN,1145.0,6.018518518518518,TARGET2,1.1247524799188497,Sideways
2025-12-10,BULL,Buana Lintas Lautan Tbk.,BUY - MOMENTUM,A,76,Naik +4.5% | Vol 1.4x | Fase: Trending Up | Above MA Stack + EMA5 Breakout,326.0,313.0,336.0,331.0,0.4,WIN,331.0,1.5337423312883436,TARGET2,1.386722559565582,Trending Up
2025-12-10,ASII,Astra International Tbk.,BUY - AKUMULASI,B,59,NonReg 6.9% | Avg Rp30jt | Asing: NET BUY,6625.0,6426.0,6824.0,7022.0,2.0,LOSS,6426.0,-3.00377358490566,STOP_LOSS,0.8052929111844572,Trending Up
