stock_code,entry_date,exit_date,days_held,entry_price,exit_price,quantity,signal_type,signal_strength,exit_reason,gross_pnl,net_pnl,pnl_pct,commissions,slippage,stop_loss,target1,target2
BBRI,2023-02-22,2023-02-24,3,4760.0,4760.0,3100,BUY - REVERSAL,97,MAX_HOLDING,0.0,-73780.0,0.0,44268.0,29512.0,4641.0,4938.0,4998.0
JPFA,2023-03-02,2023-03-06,3,1290.0,1258.0,11600,BUY - REVERSAL,100,STOP_LOSS,-371200.0,-445092.0,-2.4806201550387597,44335.2,29556.800000000003,1258.0,1338.0,1354.0
CTRA,2023-03-16,2023-03-20,3,940.0,930.0,15800,BUY - REVERSAL,91,MAX_HOLDING,-158000.0,-231865.0,-1.0638297872340425,44319.0,29546.0,916.0,975.0,987.0
APIC,2023-03-17,2023-03-20,2,1190.0,1166.0,12500,BUY - MOMENTUM,89,STOP_LOSS,-300000.0,-373625.0,-2.0168067226890756,44175.0,29450.0,1166.0,1226.0,1238.0
BBNI,2023-03-17,2023-03-21,3,9025.0,9025.0,1600,BUY - MOMENTUM,76,STOP_LOSS,0.0,-72200.0,0.0,43320.0,28880.0,8844.0,9296.0,9386.0
DRMA,2023-03-27,2023-03-27,1,795.0,779.0,18600,BUY - MOMENTUM,80,STOP_LOSS,-297600.0,-370791.0,-2.0125786163522013,43914.600000000006,29276.4,779.0,819.0,827.0
UNTR,2023-03-24,2023-03-28,3,27675.0,28090.124999999996,500,BUY - MOMENTUM,75,STOP_LOSS,207562.4999999982,137856.0937499982,1.499999999999987,41823.84375,27882.5625,27122.0,28505.0,28782.0
BSDE,2023-03-31,2023-03-31,1,980.0,960.0,15000,BUY - MOMENTUM,82,STOP_LOSS,-300000.0,-372750.0,-2.0408163265306123,43650.0,29100.0,960.0,1009.0,1019.0
SMRA,2023-04-03,2023-04-04,2,535.0,524.0,27500,BUY - MOMENTUM,80,STOP_LOSS,-302500.0,-375306.25,-2.0560747663551404,43683.75,29122.5,524.0,551.0,556.0
AGII,2023-04-05,2023-04-06,2,1995.0,1945.0,7300,BUY - REVERSAL,100,STOP_LOSS,-365000.0,-436905.0,-2.506265664160401,43143.0,28762.0,1945.0,2070.0,2095.0
BRIS,2023-04-14,2023-04-14,1,1785.0,1749.0,8100,BUY - MOMENTUM,100,STOP_LOSS,-291600.0,-363163.5,-2.0168067226890756,42938.100000000006,28625.4,1749.0,1839.0,1856.0
JSMR,2023-04-14,2023-04-14,1,3390.0,3322.0,4300,BUY - MOMENTUM,100,STOP_LOSS,-292400.0,-364554.0,-2.005899705014749,43292.4,28861.6,3322.0,3492.0,3526.0
CTRA,2023-04-14,2023-04-17,2,1005.0,985.0,14500,BUY - MOMENTUM,85,STOP_LOSS,-290000.0,-362137.5,-1.9900497512437811,43282.5,28855.0,985.0,1035.0,1045.0
BMRI,2023-04-14,2023-04-18,3,5225.0,5175.0,2700,BUY - MOMENTUM,93,MAX_HOLDING,-135000.0,-205200.0,-0.9569377990430622,42120.0,28080.0,5120.0,5382.0,5434.0
BFIN,2023-04-18,2023-04-26,2,1320.0,1287.0,10900,BUY - REVERSAL,100,STOP_LOSS,-359700.0,-430740.75,-2.5,42624.45,28416.300000000003,1287.0,1370.0,1386.0
BMRI,2023-04-18,2023-04-26,2,5175.0,5382.0,2700,BUY - MOMENTUM,77,TARGET2,558900.0,487640.25,4.0,42755.850000000006,28503.9,5072.0,5330.0,5382.0
KLBF,2023-04-26,2023-04-26,1,2080.0,2038.0,6900,BUY - MOMENTUM,96,STOP_LOSS,-289800.0,-360835.5,-2.019230769230769,42621.3,28414.2,2038.0,2142.0,2163.0
BBRI,2023-04-26,2023-04-27,2,5025.0,5025.0,2800,BUY - MOMENTUM,94,STOP_LOSS,0.0,-70350.0,0.0,42210.0,28140.0,4924.0,5176.0,5226.0
BTPS,2023-04-27,2023-04-28,2,2200.0,2145.0,6500,BUY - REVERSAL,100,STOP_LOSS,-357500.0,-428106.25,-2.5,42363.75,28242.5,2145.0,2282.0,2310.0
