No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage,FileDate,NetForeign,NonRegRatio,ChangePct,Volatility,SpreadPct,AvgTradeSize,VolumeVsShares,ValueRank,AvgVolume30d,AvgValue30d,AvgFreq30d,LiquidDays30d,Trend30d,VolumeSurge,ValueSurge,ConsistencyScore,Support7d,Resistance7d,DistFromSupport,DistFromResistance,PricePosition,MarketPhase,DayTradingScore,Category,EntrySignal,SignalStrength,StopLoss,Target1,Target2,RiskReward
148,3969510,2026-02-26T00:00:00,BMRI,Bank Mandiri (Persero) Tbk.,--MO1UQSPNU600G111------------,5300.0,5350.0,5350.0,5350.0,5200.0,5325.0,25.0,120621100.0,639656822500.0,25208.0,3216.8,5325.0,773100.0,5300.0,21500.0,92399999996.0,92399999996.0,34520639999.0,77700700.0,90957000.0,,60848744.0,322872596842.0,18.0,,,2026-02-26,13256300.0,0.5044618561760753,0.4716981132075472,2.8301886792452833,0.4694835680751174,25375151.63836877,0.001305423160229672,0.9937369519832986,153507728.57142857,799188697714.2858,27782.85714285714,7,Sideways,0.7857656492120778,0.8003827185362433,100.0,4970.0,5375.0,7.142857142857142,0.9389671361502347,87.65432098765432,Trending Up,72.31881067989167,NEUTRAL,HOLD,0,0.0,0.0,0.0,0.0
549,3969911,2026-02-26T00:00:00,MBMA,Merdeka Battery Materials Tbk.,--MO1SD4F04100B146------------,845.0,850.0,855.0,855.0,790.0,820.0,-25.0,396969800.0,322570070500.0,43445.0,103.1,820.0,1620700.0,815.0,889500.0,107995419900.0,107995419900.0,29201961541.0,45332800.0,115195200.0,,5378218.0,4657535870.0,8.0,,,2026-02-26,69862400.0,0.013548179231770275,-2.9585798816568047,7.6923076923076925,0.6097560975609756,7424791.587064104,0.003675802180940453,0.9853862212943633,506640371.4285714,439138913714.2857,42126.0,7,Up,0.7835336905360822,0.7345513240256176,100.0,715.0,945.0,14.685314685314685,15.24390243902439,45.65217391304348,Trending Up,66.71296311203487,BOUNCE,HOLD,0,0.0,0.0,0.0,0.0
873,3970235,2026-02-26T00:00:00,TLKM,Telkom Indonesia (Persero) Tbk.,--MO1XDSWW4000J312------------,3600.0,3560.0,3570.0,3650.0,3510.0,3650.0,50.0,111136200.0,397445124000.0,18123.0,1918.2,3650.0,2965900.0,3620.0,800.0,99062216600.0,99062216600.0,46767272457.0,60613600.0,93424700.0,,88969956.0,315451274828.0,15.0,,,2026-02-26,32811100.0,0.8005488400719117,1.3888888888888888,3.888888888888889,0.821917808219178,21930426.75053799,0.001121882830956157,0.9874739039665971,82315200.0,288932271000.0,16716.714285714286,7,Sideways,1.3501297451746457,1.375565016065651,100.0,3430.0,3660.0,6.41399416909621,0.273972602739726,95.65217391304348,Trending Up,62.26374102179083,INTRADAY,HOLD,0,0.0,0.0,0.0,0.0
65,3969427,2026-02-26T00:00:00,ASII,Astra International Tbk.,--MO1XNAQ7S200C311------------,6650.0,6700.0,6700.0,6725.0,6575.0,6725.0,75.0,30901600.0,206752887500.0,10780.0,4809.2,6725.0,345100.0,6700.0,1000.0,40483553140.0,40483553140.0,18205453847.0,17042600.0,25986200.0,,11811132.0,78880419250.0,12.0,,,2026-02-26,8943600.0,0.3822174903564864,1.1278195488721803,2.2556390977443606,0.37174721189591076,19179303.10760668,0.0007633124467394514,0.9739039665970772,38090714.28571428,252458831071.42856,11822.142857142857,7,Sideways,0.8112633375213307,0.8189568438645868,100.0,6550.0,6775.0,2.6717557251908395,0.7434944237918215,77.77777777777779,Sideways,52.84161549032962,INTRADAY,HOLD,0,0.0,0.0,0.0,0.0
442,3969804,2026-02-26T00:00:00,ISAT,Indosat Tbk.,--MO1SD8F2D200J321------------,2380.0,2430.0,2420.0,2430.0,2270.0,2320.0,-60.0,35291800.0,81652578000.0,7488.0,662.9,2330.0,13300.0,2320.0,97000.0,32250810957.0,32250810957.0,5266557429.0,23382400.0,25367300.0,,15040054.0,34569124740.0,4.0,,,2026-02-26,1984900.0,0.4261628480270204,-2.5210084033613445,6.722689075630252,0.43103448275862066,10904457.532051282,0.0010942918628326758,0.9405010438413361,31724500.0,72736120571.42857,6865.0,7,Up,1.1124462166464404,1.1225863760470323,100.0,2190.0,2420.0,5.93607305936073,4.310344827586207,56.52173913043478,Trending Up,52.24135578427753,BOUNCE,HOLD,0,0.0,0.0,0.0,0.0
41,3969403,2026-02-26T00:00:00,AMRT,Sumber Alfaria Trijaya Tbk.,--MO1U43534200D113------------,1735.0,1755.0,1755.0,1775.0,1700.0,1720.0,-15.0,42431000.0,73119550000.0,14552.0,4389.0,1720.0,38600.0,1715.0,235100.0,41524501700.0,41524501700.0,17560711769.0,25530000.0,26275700.0,,4700097.0,8164066840.0,2.0,,,2026-02-26,745700.0,0.11077035657891636,-0.8645533141210375,4.322766570605188,0.29069767441860467,5024707.943925234,0.0010218304437835072,0.9321503131524008,45537971.428571425,83647414500.0,11906.142857142857,7,Down,0.9317718525638573,0.8741399891086891,100.0,1735.0,1965.0,-0.8645533141210375,14.244186046511627,0.0,Trending Down,46.336829412173685,NEUTRAL,HOLD,0,0.0,0.0,0.0,0.0
201,3969563,2026-02-26T00:00:00,CBDK,Bangun Kosambi Sukses Tbk.,--MO1835000000H111------------,5850.0,5850.0,5875.0,5900.0,5600.0,5650.0,-200.0,3944000.0,22575792500.0,3392.0,139.2,5700.0,7800.0,5650.0,133800.0,5668944500.0,5668944500.0,566894450.0,899600.0,584600.0,,28969400.0,168022520000.0,2.0,,,2026-02-26,-315000.0,7.345182555780933,-3.418803418803419,5.128205128205128,0.8849557522123894,6655599.204009434,0.0006957203408853271,0.8674321503131524,5426842.857142857,33185005714.285713,3710.285714285714,7,Down,0.7267577307511076,0.6803009978172586,100.0,5775.0,6500.0,-2.1645021645021645,15.04424778761062,0.0,Trending Down,43.67853106122439,BOUNCE,HOLD,0,0.0,0.0,0.0,0.0
480,3969842,2026-02-26T00:00:00,KIJA,Kawasan Industri Jababeka Tbk.,--MO1835FB3000H111------------,218.0,218.0,218.0,218.0,206.0,210.0,-8.0,85980500.0,18265247000.0,4601.0,7.3,212.0,9316400.0,210.0,161400.0,20824888369.0,20824888369.0,11491173402.0,13599400.0,21526300.0,,1824800.0,496345600.0,18.0,,,2026-02-26,7926900.0,0.021223416937561423,-3.669724770642202,5.5045871559633035,0.9523809523809524,3969842.860247772,0.0041287376180124385,0.8622129436325678,111459214.28571428,25153528257.142857,5582.428571428572,7,Sideways,0.7714077346678382,0.726150495201929,100.0,212.0,240.0,-0.9433962264150944,14.285714285714285,0.0,Trending Down,41.05227987209078,BOUNCE,HOLD,0,0.0,0.0,0.0,0.0
733,3970095,2026-02-26T00:00:00,PWON,Pakuwon Jati Tbk.,--MO18ACMK6100H111------------,370.0,372.0,370.0,380.0,368.0,372.0,2.0,112139900.0,42021375000.0,10030.0,1434.1,374.0,3192200.0,372.0,121200.0,48159602400.0,48159602400.0,14890949062.0,17133700.0,71682700.0,,10172300.0,3794267900.0,2.0,,,2026-02-26,54549000.0,0.09071079963509866,0.5405405405405406,3.2432432432432434,0.5376344086021506,4189568.7936191424,0.002328505519389421,0.9050104384133612,45661914.28571428,16895751485.714285,5109.714285714285,7,Sideways,2.4558738229484156,2.487097128265053,100.0,364.0,378.0,2.197802197802198,1.6129032258064515,57.14285714285714,Sideways,40.20855888227828,NEUTRAL,HOLD,0,0.0,0.0,0.0,0.0
609,3969971,2026-02-26T00:00:00,MTEL,Dayamitra Telekomunikasi Tbk.,--MO18A6RF6000J321------------,545.0,545.0,550.0,555.0,530.0,535.0,-10.0,29719500.0,16005793500.0,1837.0,66.9,535.0,3452900.0,530.0,4798400.0,83559677444.0,83559677444.0,11765202584.0,1569900.0,1082300.0,,35190100.0,18967463900.0,1.0,,,2026-02-26,-487600.0,1.1840744292467908,-1.834862385321101,4.587155963302752,0.9345794392523363,8713006.804572674,0.00035566795982329403,0.8549060542797495,10865028.57142857,5875663571.428572,1537.142857142857,7,Sideways,2.735335650948259,2.724082702391426,100.0,535.0,550.0,0.0,2.803738317757009,0.0,Sideways,37.718580690201534,BOUNCE,BUY - BOUNCE,59,522.0,541.0,546.0,0.82
