date,stock,signal_type,priority,outcome,return,hold_days
20250710,AADI,MOMENTUM,NORMAL,EXIT-CLOSE,-2.1505376344086025,5
20250710,ACES,REVERSAL,NORMAL,LOSS,-3.0,2
20250710,ADHI,MOMENTUM,NORMAL,WIN-T1,3.0,1
20250710,ADMR,MOMENTUM,NORMAL,LOSS,-3.0,2
20250710,ADRO,MOMENTUM,HIGH,WIN-T1,3.0,1
20250710,AMMN,REVERSAL,NORMAL,LOSS,-3.0,2
20250710,AMRT,REVERSAL,NORMAL,LOSS,-3.0,4
20250710,ANTM,MOMENTUM,HIGH,EXIT-CLOSE,0.6688963210702341,5
20250710,APIC,MOMENTUM,NORMAL,EXIT-CLOSE,0.0,5
20250710,ARCI,REVERSAL,NORMAL,LOSS,-3.0,2
20250710,ARTO,MOMENTUM,NORMAL,WIN-T2,5.0,1
20250710,AWAN,MOMENTUM,NORMAL,LOSS,-3.0,1
20250710,BBNI,MOMENTUM,HIGH,EXIT-CLOSE,0.0,5
20250710,BBRI,MOMENTUM,HIGH,LOSS,-3.0,2
20250710,BBTN,MOMENTUM,NORMAL,WIN-T1,3.0,1
20250710,BBYB,MOMENTUM,NORMAL,WIN-T1,3.0,1
20250710,BREN,MOMENTUM,NORMAL,WIN-T2,5.0,2
20250710,BRIS,MOMENTUM,NORMAL,WIN-T1,3.0,2
20250710,BRMS,REVERSAL,NORMAL,WIN-T2,5.0,2
20250710,BSDE,MOMENTUM,HIGH,WIN-T1,3.0,3
20250710,CAMP,REVERSAL,NORMAL,LOSS,-3.0,2
20250710,CARE,MOMENTUM,NORMAL,LOSS,-3.0,1
20250710,CASA,MOMENTUM,NORMAL,EXIT-CLOSE,0.0,5
20250710,CBDK,REVERSAL,NORMAL,WIN-T2,5.0,2
20250710,CLEO,MOMENTUM,NORMAL,LOSS,-3.0,2
20250710,CMNT,MOMENTUM,NORMAL,WIN-T2,5.0,2
20250710,CYBR,REVERSAL,NORMAL,WIN-T1,3.0,1
20250710,DATA,MOMENTUM,NORMAL,LOSS,-3.0,1
20250710,DKFT,MOMENTUM,NORMAL,WIN-T2,5.0,1
20250710,DOID,MOMENTUM,NORMAL,LOSS,-3.0,2
20250710,DSNG,REVERSAL,NORMAL,WIN-T1,3.0,2
20250710,EMTK,MOMENTUM,NORMAL,WIN-T1,3.0,2
20250710,ERAA,MOMENTUM,HIGH,LOSS,-3.0,1
20250710,ESSA,MOMENTUM,HIGH,LOSS,-3.0,2
20250710,FAST,REVERSAL,NORMAL,LOSS,-3.0,1
20250710,FILM,REVERSAL,NORMAL,LOSS,-3.0,1
20250710,FORE,REVERSAL,NORMAL,WIN-T1,3.0,1
20250710,HATM,REVERSAL,NORMAL,WIN-T1,3.0,1
20250710,IMPC,MOMENTUM,NORMAL,LOSS,-3.0,3
20250710,INCO,MOMENTUM,HIGH,WIN-T1,3.0,2
20250710,INDO,MOMENTUM,NORMAL,LOSS,-3.0,1
20250710,INKP,MOMENTUM,HIGH,WIN-T2,5.0,1
20250710,IPCC,MOMENTUM,NORMAL,LOSS,-3.0,2
20250710,ITMA,MOMENTUM,NORMAL,WIN-T2,5.0,1
20250710,JARR,REVERSAL,NORMAL,LOSS,-3.0,1
20250710,JPFA,MOMENTUM,HIGH,LOSS,-3.0,1
20250710,JSMR,MOMENTUM,HIGH,LOSS,-3.0,2
20250710,MAPA,REVERSAL,NORMAL,LOSS,-3.0,1
20250710,MAPI,REVERSAL,HIGH,WIN-T1,3.0,2
20250710,MARK,REVERSAL,NORMAL,WIN-T1,3.0,1
20250710,MBMA,MOMENTUM,NORMAL,WIN-T2,5.0,1
20250710,MGRO,MOMENTUM,NORMAL,LOSS,-3.0,2
20250710,MLIA,MOMENTUM,NORMAL,WIN-T1,3.0,2
20250710,MNCN,MOMENTUM,NORMAL,WIN-T1,3.0,5
20250710,MSIN,REVERSAL,NORMAL,LOSS,-3.0,2
20250710,MSTI,MOMENTUM,NORMAL,WIN-T1,3.0,1
20250710,MTDL,MOMENTUM,NORMAL,EXIT-CLOSE,0.0,5
20250710,NEST,REVERSAL,NORMAL,WIN-T1,3.0,1
20250710,NOBU,MOMENTUM,NORMAL,LOSS,-3.0,2
20250710,NRCA,MOMENTUM,NORMAL,WIN-T2,5.0,1
20250710,PANR,MOMENTUM,NORMAL,WIN-T1,3.0,3
20250710,PGEO,MOMENTUM,NORMAL,WIN-T2,5.0,3
20250710,PNBN,MOMENTUM,NORMAL,LOSS,-3.0,2
20250710,PNLF,MOMENTUM,NORMAL,LOSS,-3.0,2
20250710,PSAB,MOMENTUM,NORMAL,WIN-T2,5.0,2
20250710,PTPP,MOMENTUM,HIGH,LOSS,-3.0,2
20250710,PWON,MOMENTUM,HIGH,WIN-T1,3.0,4
20250710,PYFA,REVERSAL,NORMAL,LOSS,-3.0,1
20250710,RAAM,REVERSAL,NORMAL,LOSS,-3.0,2
20250710,RALS,MOMENTUM,NORMAL,EXIT-CLOSE,0.0,5
20250710,RATU,REVERSAL,NORMAL,WIN-T1,3.0,1
20250710,SMDR,MOMENTUM,NORMAL,WIN-T1,3.0,2
20250710,SMIL,MOMENTUM,NORMAL,LOSS,-3.0,1
